TABLE_SCHEMA,TABLE_NAME,COLUMN_NAME,DATA_TYPE
amp_payment,channel_pay_config,id,bigint
amp_payment,channel_pay_config,cooperation_code,varchar
amp_payment,channel_pay_config,cooperation_name,varchar
amp_payment,channel_pay_config,project_no,varchar
amp_payment,channel_pay_config,channel_code,varchar
amp_payment,channel_pay_config,pay_config_code,varchar
amp_payment,channel_pay_config,query_key,varchar
amp_payment,channel_pay_config,transaction_mode,varchar
amp_payment,channel_pay_config,status,int
amp_payment,channel_pay_config,member_id,varchar
amp_payment,channel_pay_config,terminal_id,varchar
amp_payment,channel_pay_config,pub_key,varchar
amp_payment,channel_pay_config,pub_path,varchar
amp_payment,channel_pay_config,pri_key,text
amp_payment,channel_pay_config,pri_path,varchar
amp_payment,channel_pay_config,pri_key_pwd,varchar
amp_payment,channel_pay_config,trans_key,varchar
amp_payment,channel_pay_config,channel_url,varchar
amp_payment,channel_pay_config,notify_url,varchar
amp_payment,channel_pay_config,redirect_url,varchar
amp_payment,channel_pay_config,share_notify_url,varchar
amp_payment,channel_pay_config,check_file_url,varchar
amp_payment,channel_pay_config,check_file_ip,varchar
amp_payment,channel_pay_config,check_remit_member_id,varchar
amp_payment,channel_pay_config,resv_one,varchar
amp_payment,channel_pay_config,resv_two,varchar
amp_payment,channel_pay_config,resv_three,varchar
amp_payment,channel_pay_config,create_time,datetime
amp_payment,channel_pay_config,create_by,varchar
amp_payment,channel_pay_config,modify_time,datetime
amp_payment,channel_pay_config,modify_by,varchar
amp_payment,channel_pay_config,delete_time,datetime
amp_payment,channel_pay_config,delete_by,varchar
amp_payment,channel_pay_config,is_delete,tinyint
amp_payment,channel_pay_config,is_cancel,tinyint
amp_payment,channel_pay_config,version,int
amp_payment,channel_pay_config,remark,varchar
amp_payment,mer_channel_config,id,int
amp_payment,mer_channel_config,channel_code,varchar
amp_payment,mer_channel_config,channel_name,varchar
amp_payment,mer_channel_config,mer_id,varchar
amp_payment,mer_channel_config,status,tinyint
amp_payment,mer_channel_config,product_type,varchar
amp_payment,mer_channel_config,channel_mer_id,varchar
amp_payment,mer_channel_config,channel_acq_id,varchar
amp_payment,mer_channel_config,pub_key,varchar
amp_payment,mer_channel_config,pub_path,varchar
amp_payment,mer_channel_config,pri_key,text
amp_payment,mer_channel_config,pri_path,varchar
amp_payment,mer_channel_config,cert_pwd,varchar
amp_payment,mer_channel_config,trans_key,varchar
amp_payment,mer_channel_config,channel_url,varchar
amp_payment,mer_channel_config,notify_url,varchar
amp_payment,mer_channel_config,resv_one,varchar
amp_payment,mer_channel_config,resv_two,varchar
amp_payment,mer_channel_config,resv_three,varchar
amp_payment,mer_channel_config,create_by,varchar
amp_payment,mer_channel_config,create_time,datetime
amp_payment,mer_channel_config,modify_by,varchar
amp_payment,mer_channel_config,modify_time,datetime
amp_payment,mer_channel_config,delete_by,varchar
amp_payment,mer_channel_config,delete_time,datetime
amp_payment,mer_channel_config,is_delete,tinyint
amp_payment,mer_channel_config,is_cancel,tinyint
amp_payment,mer_channel_config,version,int
amp_payment,mer_channel_config,remark,varchar
